"year", "month", "day", "hour", "minute", "track_id", "start_time", "start_x", "start_y", "duration", "length", "category", "max_surface_wind", "min_sea_level_pressure", "region_id", "region_name", "region_long_name"
1990, 1, 1, 3, 0, 0, 4015.12, 277.37, 14.9914, 3.5, 98067.8, 1, 35.4771, 98448.2, 4, "NA", "N Atlantic"
1990, 1, 5, 3, 0, 1, 4019.12, 86.1309, 7.10148, 3.875, 44920.1, 0, 31.3495, 99211.3, 3, "NI", "N Indian"
1990, 1, 13, 12, 0, 2, 4027.5, 70.6193, 6.45132, 5.625, 114563, 0, 32.0897, 98715.2, 3, "NI", "N Indian"
1990, 1, 19, 3, 0, 3, 4033.12, 179.694, -13.7247, 5.25, 115911, 1, 36.6404, 98577.2, 1, "SWP", "SW Pacific"
1990, 1, 19, 9, 0, 4, 4033.38, 159.696, -14.0408, 13.75, 303569, 3, 54.0837, 95078.1, 1, "SWP", "SW Pacific"
1990, 1, 23, 15, 0, 5, 4037.62, 111.818, -14.3889, 18.375, 428040, 3, 51.4679, 95792.2, 0, "SI", "S Indian"
1990, 1, 28, 18, 0, 6, 4042.75, 118.669, -15.0495, 12.75, 170686, 0, 31.6168, 98169.3, 0, "SI", "S Indian"
1990, 2, 7, 6, 0, 7, 4052.25, 89.2121, 3.99045, 8.625, 186377, 1, 35.1364, 99021.2, 3, "NI", "N Indian"
1990, 2, 14, 21, 0, 8, 4059.88, 158.736, -14.1931, 6, 163946, 1, 41.6012, 96441.8, 1, "SWP", "SW Pacific"
1990, 2, 21, 9, 0, 9, 4066.38, 139.711, -12.7469, 13.375, 228430, 0, 31.9952, 98316.5, 1, "SWP", "SW Pacific"
1990, 2, 24, 21, 0, 10, 4069.88, 83.4918, -9.99735, 11, 207917, 0, 23.6243, 99853.5, 0, "SI", "S Indian"
1990, 3, 3, 15, 0, 11, 4076.62, 150.532, -19.7695, 7.875, 102466, 1, 37.3302, 97789.2, 1, "SWP", "SW Pacific"
1990, 3, 19, 21, 0, 12, 4092.88, 125.311, -16.3056, 5.75, 71576.9, 1, 39.7326, 98105.9, 0, "SI", "S Indian"
1990, 3, 26, 12, 0, 13, 4099.5, 165.271, 7.91317, 12.25, 275476, 4, 62.9976, 95620.3, 2, "NWP", "NW Pacific"
1990, 4, 8, 15, 0, 14, 4112.62, 105.296, -11.0359, 11.125, 157750, 3, 55.7997, 95753.9, 0, "SI", "S Indian"
1990, 4, 10, 15, 0, 15, 4114.62, 131.902, -10.3874, 5, 62363.2, 1, 37.7086, 98837.3, 0, "SI", "S Indian"
1990, 4, 22, 6, 0, 16, 4126.25, 326.504, -25.1556, 4.875, 81338, 1, 39.0297, 98621.9, 7, "SA", "S Atlantic"
1990, 4, 25, 15, 0, 17, 4129.62, 74.6862, 11.3533, 11.5, 147835, 1, 39.2644, 98169.9, 3, "NI", "N Indian"
1990, 4, 30, 18, 0, 18, 4134.75, 204.003, 4.30611, 4.875, 130868, 0, 27.7081, 100077, 5, "NEP", "NE Pacific"
1990, 5, 3, 12, 0, 19, 4137.5, 25.4696, -34.1844, 7.5, 183388, 0, 31.3464, 99095.5, 0, "SI", "S Indian"
1990, 5, 14, 3, 0, 20, 4148.12, 239.729, 7.81665, 4.375, 83413.5, 0, 22.4822, 100180, 5, "NEP", "NE Pacific"
1990, 5, 15, 6, 0, 21, 4149.25, 93.1705, 16.2314, 3.25, 44298.1, 0, 28.1887, 98699.2, 3, "NI", "N Indian"
1990, 5, 20, 6, 0, 22, 4154.25, 261.925, 8.0479, 6.75, 95259, 0, 24.6092, 99963.9, 5, "NEP", "NE Pacific"
1990, 5, 30, 3, 0, 23, 4164.12, 246.657, 11.5793, 6.625, 115660, 1, 38.7455, 98274.7, 5, "NEP", "NE Pacific"
1990, 5, 30, 6, 0, 24, 4164.25, 257.442, 15.8913, 19.375, 220578, 2, 44.8257, 97349, 5, "NEP", "NE Pacific"
1990, 6, 20, 18, 0, 25, 4185.75, 97.0593, -10.0679, 5.75, 50210.9, 0, 30.3841, 99095.2, 0, "SI", "S Indian"
1990, 6, 24, 15, 0, 26, 4189.62, 61.8582, 21.9611, 7.875, 119533, 0, 25.7041, 98478.1, 3, "NI", "N Indian"
1990, 6, 26, 21, 0, 27, 4191.88, 135.283, 16.5795, 5.125, 132578, 0, 28.0596, 99494.8, 2, "NWP", "NW Pacific"
1990, 7, 7, 12, 0, 28, 4202.5, 79.3293, -9.41587, 7.625, 91938.7, 0, 31.8708, 99696.8, 0, "SI", "S Indian"
1990, 7, 9, 3, 0, 29, 4204.12, 91.9412, -7.22459, 13.5, 195596, 1, 39.6645, 97946.6, 0, "SI", "S Indian"
1990, 7, 10, 0, 0, 30, 4205, 167.477, 29.7601, 6.875, 158974, 0, 27.0797, 100275, 2, "NWP", "NW Pacific"
1990, 7, 10, 12, 0, 31, 4205.5, 74.2456, 23.5746, 5.875, 113397, 3, 52.9412, 95770.4, 3, "NI", "N Indian"
1990, 7, 11, 18, 0, 32, 4206.75, 274.979, 9.29228, 8.375, 152011, 0, 27.6215, 99900.3, 5, "NEP", "NE Pacific"
1990, 7, 14, 18, 0, 33, 4209.75, 169.811, 9.29733, 12.625, 284448, 0, 27.6293, 99501.1, 2, "NWP", "NW Pacific"
1990, 7, 19, 15, 0, 34, 4214.62, 173.867, -12.0478, 5.625, 103749, 0, 24.8044, 100296, 1, "SWP", "SW Pacific"
